index,reviewbody,star,location_traffic,location_distance_from_business_district,location_easy_to_find,service_wait_time,service_waiters_attitude,service_parking_convenience,service_serving_speed,price_level,price_cost_effective,price_discount,environment_decoration,environment_noise,environment_space,environment_cleaness,dish_portion,dish_taste,dish_look,dish_recommendation
46277,状元楼饭店第一次去，因为地理位置优越：在宁波市和义大道高、大、上，里面装修中式，菜是地道的宁波菜，口味纯正，醉泥螺特棒，吃到了小时候的味道，因为去了晚了，在大堂等了一会儿，期间有茶水喝、服务员还与你聊天，到了就餐时生意太好，服务员都是小跑状，服务态度绝对不提速，样样都服务到位，点酒水还耐心的与我们解释，就这样绝对要夸一夸，特别是彭新星、洪继华（看服务牌才知道名字）也给我们宁波市形象增色，状元楼是宁波的一扇窗口，服务员的素质更体现我们宁波人的精神面貌。赞一个,5.0,1,1,1,-2,1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,1,-2,-2
23691,我最爱他们家的猪手，麻辣鸡爪，肉片口磨，道道菜都是家常菜的味道，非常的好吃，是原来的昊烨，和长白街北的强烨饭店，是仔妹店，相同却又不是太相同，弥补了强烨的一个遗憾，就是强烨现在没有宵夜了，老妈家有宵夜，10点以后可以过来。整体用餐环境，干净整洁，简单清爽，有上下两层.服务也是很到位！老板人超级好，特别好说话！南京地地道道的本土菜，需要支持一下！！！适合亲朋好友稍微小聚一下，门口就是公交站台，非常方便！,5.0,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2
23660,我是比较喜欢荣新馆的，因为材料新鲜，服务又好，价格适中，但是老公每次吃都会拉肚子，特神奇，我喜欢鳌虾，感觉比牡丹虾好吃，但是我们这种小胃口，一人四个也就饱了。对于不吃鱼的人来说，吃日料真的比较亏，只能吃螃蟹，海胆和海螺等带壳海鲜。里面服务员一直很热情，会叫我们多点些，可能每次来，给服务员感觉都是我们吃的太少了，但是感觉这里一直是海鲜食材新鲜，但是熟物的味道，我感觉一般，没有那么惊艳。给予四星，是因为老公会拉肚子，上次我弟弟也拉肚子，貌似女生都好好的，男生就难说了！,4.0,-2,-2,-2,-2,1,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,0,1,-2
379,8.8秒杀的多嘴肉蟹煲，第一天开业就去了，大众点评很给力，排了两个半小时的队才轮到，他家很年轻化，服务员不时出来跳舞啥的，挺有意思，第一天分享还有小礼物，点赞还送饮料，可惜没赶上，点了8元一份的米饭，米饭是砂锅装的，非常好吃，泡多嘴肉蟹煲的汤吃更棒，还点了一个馍，沾着辣肉酱吃，得趁热吃，不然馍就硬不好吃了，肉蟹煲里面很丰富，满满一大锅，里面有螃蟹，大虾，年糕，鸡爪，螃蟹肉很多，真的是肉蟹，鸡爪很好吃，做的软糯的，非常不错，里面还有花生腐竹，味道都不错，服务也很到位，开业第一天最后吃完的，服务员还送了西瓜，很贴心，还会再来的，推荐哦，大家都快点来吃吧，非常划算的,5.0,-2,-2,-2,-1,1,-2,-2,0,-2,1,-2,-2,-2,-2,1,1,-2,-2
13811,喜欢KOI好多年了，但是看着它的价格在一路飙涨，真心是有点越来越爱不起来了呢。不过还好有大众点评的闪惠，每周四半价，太便宜啦~棒棒的~~\\n还是一如既往点了最爱的蒟蒻，其实也不是真的蒟蒻啦，就是椰果，但是我就是好喜欢呢。而且一定是要微糖，常温，这样才是最好的味道。大杯22，中杯17.\\n朋友爱吃仙草，所以给他点了仙草蜜，满满一大杯的仙草，也是不错吃的呢。中杯18.\\n蔡塘广场的这家不是很好找。在一楼的广场中央，幸得小伙伴指点，在钓鱼池的旁边。也有几张桌子可以坐人。还是不错的。,5.0,-2,1,-1,-2,-2,-2,-2,1,-2,1,-2,-2,-2,-2,1,1,-2,-2
26476,"月底就是父亲生日了今天去给老爸订了个板栗蓉的蛋糕，感觉很划算，现在大众点评网搞活闪付5折很划算,订108元的蛋糕只用支付68，活动名额有限喔！每天10点开始抢完为止！除了可以订生日蛋糕，买月饼、面包蛋糕也可以，只要是店里卖的都可以要！十分划算，活动到2015.10.17止喔！滋味蛋糕味道不错，25一个吃起来嫩嫩的感觉，今天一下买了2个当早餐吃，还有可爱的小熊蛋糕好可爱,下次还会光顾喜莲娜，你也来试试吧",5.0,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,1,1,-2
13894,嗯，第三次来了，西米糕没有了，遗憾；中午来的时候还是人多要等，估计和工作日有关，上次工作日晚上来的，就没等什么；所以大家注意时间去；冬阴功汤比上次味道略淡，但是老板是说怕有些客人不喜欢重口，但是我建议还是按照风味来，毕竟可以在点菜的时候解说下；就是上菜要一桌一桌来上…… 猪颈肉刚觉比上次好吃，柠檬鱼也是很新鲜，都吃完了，推荐。\\n可能店不是很大，服务员也不多，今天就一个妹子，有时候喊不过来，等待一长就添茶水比较慢。\\n然后就是现在有闪单优惠，还是划算。,4.0,-2,-2,-2,-2,0,-2,-2,-2,1,0,-2,-2,0,-2,-2,0,1,1
27690,本来没打算吃火锅的，这家味道实在太香....店里有实付100送50抵价券的活动，还好优惠买单叠加，又送饮料菜品啥的，两个人吃了160超划算！\\n菜品讲道理一般，招牌的虾球丸子还可以，其他标准水平，比较细节的是娃娃菜切的很细，这在火锅里比较少见，但能在蔬菜上下功夫，还是蛮用心的orz\\n环境不错，交通方便，服务员热情又不让人尴尬，不插话不打断客人，叫的时候随时能过来\\n也有差评项，水果切的有味道...刀没洗干净吧,4.0,1,-2,-2,-2,1,-2,-2,0,1,0,1,1,1,1,-2,0,-2,-2
39309,这店在仓边路公车站附近 老字号 是一家价格实惠的简餐店。以快餐和粥粉面为主 也有小炒等。环境一般 就是普通的装修 有一楼二楼和夹层 挺多座位的。夹层空间比较局促 一般选择一楼或二楼用餐。常规出品 没什么惊喜 就是简便快捷。没WiFi。现金埋单。\\n\\n水煮牛肉 牛肉挺嫩滑的 配菜是豆芽。叉烧肥牛米粉 分量可以 米粉爽口。水煮生菜 不过不失 没什么味道。以前吃过这里的粥 听说是招牌 但是粥底真的不怎么 不够绵 再来也不会吃粥。,2.0,1,-2,-2,-2,-2,-2,-2,1,-2,-2,0,0,-1,0,1,0,-2,-2
8664,"其实本来是要去吃郑爽爽咖喱羊排的,可是,没想到杀过去的时候店门竟然没开,明明那时候已经12点了呀Ծ‸Ծ难道是周日店休么。。。好讨厌的感觉啊啊啊,尤其是刚刚交完5块钱停车费的人表示心好塞啊啊啊,鉴于已经停了车,而且这一代平时也不太会专程来,那就干脆在附近觅个食吧。打开点评的APP一搜,忽然发现旁边有美邻扁食,印象之前在微博上也看到过好几次,貌似是老字号了,那就随遇而安走一个呗。\\n店面不大,装修也很简单,不过人气很旺的样子,一直有客人进进出出,翻桌率很高。店里东西不算很丰富,简单几样扁食拌面猪肝汤脱骨肉汤,以及猪肝跟脱骨肉单拌跟加面。要了扁食拌面以及一份猪肝汤面,出菜速度那叫一个快,咻咻的。卖相就是非常classic的扁食拌面,分量适中,汤热乎乎的,在这阴冷阴冷的天气真是非常舒服。汤头甜的出乎意料,正在寻思是不是加了啥调料,忽然听到进门一个老客人点餐说扁食不要加味精,恍然大悟,原来如此,还可以要求不加味精的啊？!不过汤里本身就有冬菜跟葱花,其实即便只是清汤也不会差。扁食很Q弹,不过感觉偏咸,店里也有生的让人打包回家自己煮。出乎意料的是拌面跟猪肝面都很好吃,拌面加了一点点汤所以不会太干,花生酱吃起来真是香!!猪肝脆脆的口感也很棒,难怪那么多人直接点拌猪肝。3碗一共21,吃的浑身暖洋洋的,真舒服啊,下次有经过可以再来一碗୧( ""̮ )୨✧ᐦ̤",3.0,-2,-2,-2,-2,-2,1,1,0,-2,-2,0,-2,-2,-2,0,1,1,-2
